id,title,caption,alt,damage_style,then,now
hero-01-affluent-parents,Affluent Parents Portrait,Bring your parents' most precious portrait back with dignity.,Restored vintage Pakistani parents portrait in an elegant drawing room,"faded sepia, fine cracks, worn print",/assets/hero/hero-01-affluent-parents-then.jpg,/assets/hero/hero-01-affluent-parents-now.jpg
hero-02-grandparents-legacy,Grandparents Legacy,Preserve a lifetime of love for the next generation.,Restored portrait of elderly Pakistani grandparents,"black and white, dim exposure, aged paper",/assets/hero/hero-02-grandparents-legacy-then.jpg,/assets/hero/hero-02-grandparents-legacy-now.jpg
hero-03-wedding-memory,Classic Pakistani Wedding,Relive the day your family story began.,Restored classic Pakistani wedding portrait,"folds, stains, torn corner, faded highlights",/assets/hero/hero-03-wedding-memory-then.jpg,/assets/hero/hero-03-wedding-memory-now.jpg
hero-04-childhood-siblings,Childhood Siblings,Bring childhood memories back with every little detail.,Restored childhood siblings portrait in a Pakistani family home,"faded colour, water stain, emulsion loss",/assets/hero/hero-04-childhood-siblings-then.jpg,/assets/hero/hero-04-childhood-siblings-now.jpg
hero-05-three-generation-family,Three Generation Family,Bring generations together in one clear family memory.,Restored three generation Pakistani family portrait in an elegant home,"low contrast, dust, uneven fading, age spots",/assets/hero/hero-05-three-generation-family-then.jpg,/assets/hero/hero-05-three-generation-family-now.jpg
hero-06-graduation-pride,Graduation Pride,Preserve the proud day your family worked toward together.,Restored Pakistani graduation portrait with parents,"black and white, creases, faded academic portrait",/assets/hero/hero-06-graduation-pride-then.jpg,/assets/hero/hero-06-graduation-pride-now.jpg
hero-07-service-honour,Service and Honour,Honor a lifetime of service with a portrait worth preserving.,Restored vintage Pakistani military officer portrait,"black and white, strong scratches, cracked emulsion",/assets/hero/hero-07-service-honour-then.jpg,/assets/hero/hero-07-service-honour-now.jpg
hero-08-old-city-family,Old City Family Memory,Restore the family memories tied to the streets you still remember.,Restored Pakistani family portrait in a historic old city street,"aged black and white, grain, dark exposure, scratches",/assets/hero/hero-08-old-city-family-then.jpg,/assets/hero/hero-08-old-city-family-now.jpg
hero-09-railway-migration,Railway and Migration Memory,Keep your family's journey alive for generations.,Restored Pakistani family railway journey and migration memory,"severe ageing, multiple tears, stains, missing emulsion",/assets/hero/hero-09-railway-migration-then.jpg,/assets/hero/hero-09-railway-migration-now.jpg
hero-10-loved-one-memorial,Loved One Memorial,"Keep their memory close, clear and respectfully preserved.",Restored memorial portrait of a Pakistani gentleman,"dim portrait, silvering, scratches, partial fading",/assets/hero/hero-10-loved-one-memorial-then.jpg,/assets/hero/hero-10-loved-one-memorial-now.jpg
